realization_day,weekday,weekday2,avg_reservation_price,avg_da_price
2022-12-14,2,4,0.0,454.73490740039233
2022-12-15,3,9,0.0,413.3557666228692
2022-12-16,4,16,0.0,436.2110771403471
2022-12-17,5,25,0.0,313.14430866598934
2022-12-18,6,36,2.4970833333333338,221.0784207850188
2022-12-19,0,0,2.305,210.6579700986857
2022-12-20,1,1,0.0,198.81862135651522
2022-12-21,2,4,0.0,222.59887252391874
2022-12-22,3,9,0.0,187.46081314842354
2022-12-23,4,16,0.0,196.38588341186343
2022-12-24,5,25,0.0,143.7070469203603
2022-12-25,6,36,0.0,101.69589100935703
2022-12-26,0,0,0.0,43.99766128468938
2022-12-27,1,1,0.0,67.73546118030869
2022-12-28,2,4,4.61,73.71933577151223
2022-12-29,3,9,0.57625,22.397966725466635
2022-12-30,4,16,25.462500000000002,5.529910253215813
2022-12-31,5,25,25.45,-3.1696744630175324
2023-01-01,6,36,24.36,17.341163746426293
2023-01-02,0,0,21.790000000000003,60.37143446964327
2023-01-03,1,1,22.165833333333335,119.55619423555173
2023-01-04,2,4,22.350416666666664,71.2205290230766
2023-01-05,3,9,22.503124999999997,104.37663509292484
2023-01-06,4,16,24.745,119.05748060811506
2023-01-07,5,25,24.719791666666666,84.50337011951068
